Name der Größe,Max. Remotespeicherdatenträger (Menge),Maximale Bandbreite (Mbps),Lokale SSD (Menge),Max. temporäre Speicherdatenträger (Menge),Spitzenfrequenz für alle Kerne (GHz),SSD Premium-Burst1-IOPS ohne Zwischenspeicherung,Nicht zwischengespeicherter Storage Burst1Speed (MBps),Basis-CPU-Leistung der VM (%)1,SSD Premium-Burstdurchsatz (MB/s)1ohne Zwischenspeicherung,SSD Premium-Datenträger-IOPS ohne Zwischenspeicherung,ReadWrite-Geschwindigkeit (MBit/s) des temporären Datenträgers,Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Zwischenspeicherung,Temporärer Speicher (SSD): GiB,Nicht zwischengespeicherte Speicher-IOPS,Größe der lokalen SSD (GB),Maximaler temporärer Speicherdurchsatz: IOPS/MB/s,Maximalernicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Disk Ultra- und SSD Premium v2-IOPS ohne Burstzwischenspeicherung1,Arbeitsspeicher (GiB),Disk Ultra- und SSD Premium v2-Durchsatz ohne Zwischenspeicherung (MB/s),NVMe-Datenträgergröße (TiB),vCPU,Basis-CPU-Frequenz (GHz),Größe des Betriebssystemdatenträgers (GB),Burstdatenträgerdurchsatz ohne Cache: IOPS/MBit/s1,Maximaler Burstdurchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,RDMA-Leistung (GB/s),NVMe-Datenträgergröße (TB),Arbeitsspeicher (GB),Anfängliches Guthaben (Menge),Maximale Netzwerkbandbreite (MB/s),Maximaler Durchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,Nicht zwischengespeicherter Storage Burst1IOPS,Nicht zwischengespeicherte Datenträgergeschwindigkeit (MBit/s),Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Burstzwischenspeicherung1,Max. Netzwerkbandbreite (MBit/s),Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,NVMe-Datenträgerdurchsatz (MB/s),Burstdurchsatz für Cache- und temporären Speicher: IOPS/MBit/s1,Temporäre Datenträgergröße (GiB),Maximaler temporärer Speicherdurchsatz: IOPS/MBit/s*,Maximaler SSD Premium-Durchsatz ohne Cache: IOPS/MBit/s,NVMe-Datenträger-IOPS,Nicht zwischengespeicherte Datenträger-IOPS,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MB/s,Nicht zwischengespeicherte Speichergeschwindigkeit (MBps),Netzwerkbandbreite,ReadOnly-IOPS des temporären Datenträgers,Nicht zwischengespeicherter Special2Storage IOPS,Temp ReadOnly Storage Speed (MBps),Max. Anzahl Datenträger,vCPUs (Anzahl),Maximaler Burst-Datenträgerdurchsatz ohne Cache: IOPS/MBit/s,Random Read1-Durchsatz (MB/s) des temporären Datenträgers,ReadOnly-Geschwindigkeit (MBit/s) des temporären Datenträgers,Maximaler temporärer Speicherdurchsatz: IOPS/MB/s*,Nicht zwischengespeicherter Special2Storage-Geschwindigkeit (MBps),Temp ReadWrite Storage Speed (MBps),Erwartete ausgehende Netzwerkbandbreite (MBit/s),Arbeitsspeicher der Beschleuniger (GB),Random Read-Durchsatz (MB/s)1des temporären Datenträgers,Größe des temporären Datenträgers (GB),vCPUs (Menge),Max Temp Storage (Menge),Max. Remotespeicher (Menge),Maximaler Durchsatz (Cache und temporärer Speicher): IOPS/MBit/s,Maximaler nicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Max. gebildetes Guthaben (Menge),Nicht zwischengespeicherter Burst1Special2Storage IOPS,Maximalernicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Speicherbandbreite (GB/s),SSD Premium-Burst-IOPS1ohne Zwischenspeicherung,Maximale Anzahl NICs,Maximaler Durchsatz (temporärer Speicher): IOPS/MBit/s,Memory: GiB,Max. NICs (Anzahl),Beschleuniger (Anzahl),Arbeitsspeicherbandbreite (GB/s),Maximaler Durchsatz des temporären Datenträgers in IOPS/MBit/s,Disk Ultra- und SSD Premium v2-IOPS ohne Zwischenspeicherung,Temp ReadWrite Storage IOPS,Random Write1-Durchsatz (MB/s) des temporären Datenträgers,SSD Premium-Burst1-Durchsatz ohne Zwischenspeicherung (MB/s),Max. Bandbreite (MBit/s),Random Write (RW) des temporären Datenträgers1– IOPS,Maximaler Burst nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,RAM (GiB),Temp ReadOnly Storage IOPS,Temporäre Speichergröße (GiB),ReadWrite-IOPS des temporären Datenträgers,EPC-Arbeitsspeicher (GiB),SSD Premium-Burst1Durchsatz ohne Zwischenspeicherung (MB/s),Spitzenfrequenz für Einzelkern (GHz),SSD Premium-Durchsatz (MB/s) ohne Zwischenspeicherung,Kerne (Anzahl),Random Read (RR) des temporären Datenträgers1– IOPS,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MBit/s,Guthabenbildung/Stunde (Menge),EPC-Speicher (MiB),Nicht zwischengespeicherte Burst1Special Storage-Geschwindigkeit (MBps),SSD Premium-Durchsatz ohne Zwischenspeicherung (MB/s),Maximale Netzwerkbandbreite (MBit/s),Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBps,Max. NVMe-Datenträger (Anzahl)
Standard_E112ibs_v5,,,,,,,,,,,,,,,,,,,,,,112,,,,260000/8000,,,,,,260000/8000,,,,,,,,,,,,,,,40.000,,,,64,,,,,,,,,,,,,,,,,,,,,,8,,672,,,,,,,,,,,400000/10000,,,,,,,,,,,,,,,,,400000/10000,
Standard_EC2ads_v5,,,,,,,,,,,,,75,,,9000 / 125,,,,,,2,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,2,,16,,,,,,,,,,,,,,,,,,,,,,3750/82,,,,,,,
Standard_EC4ads_v5,,,,,,,,,,,,,150,,,19000 / 250,,,,,,4,,,,,,,,,,,,,,5.000,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,2,,32,,,,,,,,,,,,,,,,,,,,,,6400/144,,,,,,,
Standard_EC8ads_v5,,,,,,,,,,,,,300,,,38000 / 500,,,,,,8,,,,,,,,,,,,,,5.000,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,4,,64,,,,,,,,,,,,,,,,,,,,,,12800/200,,,,,,,
Standard_EC16ads_v5,,,,,,,,,,,,,600,,,75000 / 1000,,,,,,16,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,4,,128,,,,,,,,,,,,,,,,,,,,,,25600/384,,,,,,,
Standard_EC20ads_v5,,,,,,,,,,,,,750,,,94000 / 1250,,,,,,20,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,160,,,,,,,,,,,,,,,,,,,,,,32000/480,,,,,,,
Standard_EC32ads_v5,,,,,,,,,,,,,1200,,,150000 / 2000,,,,,,32,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,256,,,,,,,,,,,,,,,,,,,,,,51200/768,,,,,,,
Standard_EC48ads_v5,,,,,,,,,,,,,1800,,,225000 / 3000,,,,,,48,,,,,,,,,,,,,,15000,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,384,,,,,,,,,,,,,,,,,,,,,,76800/1152,,,,,,,
Standard_EC64ads_v5,,,,,,,,,,,,,2400,,,300000 / 4000,,,,,,64,,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,512,,,,,,,,,,,,,,,,,,,,,,80000/1200,,,,,,,
Standard_EC96ads_v5,,,,,,,,,,,,,3600,,,450000 / 4000,,,,,,96,,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,672,,,,,,,,,,,,,,,,,,,,,,80000/1600,,,,,,,
Standard_EC2eds_v5,,,,,,,,,,,,,47,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3.750/80,,,,,,4,,10000/1200,,,,,,,,,,,,,,,,,,,,2,,,,,,9.300/100,,,,,,,,16,,,,,,,,,,,,,,,3000,,
Standard_EC4eds_v5,,,,,,,,,,,,,105,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,6.400/140,,,,,,8,,20000/1200,,,,,,,,,,,,,,,,,,,,2,,,,,,19.500/200,,,,,,,,32,,,,,,,,,,,,,,,5.000,,
Standard_EC8eds_v5,,,,,,,,,,,,,227,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,12.800/300,,,,,,16,,20000/1200,,,,,,,,,,,,,,,,,,,,4,,,,,,38.900/500,,,,,,,,64,,,,,,,,,,,,,,,5.000,,
Standard_EC16eds_v5,,,,,,,,,,,,,463,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,25.600/600,,,,,,32,,40000/1200,,,,,,,,,,,,,,,,,,,,8,,,,,,76.700/1.000,,,,,,,,128,,,,,,,,,,,,,,,10000,,
Standard_EC32eds_v5,,,,,,,,,,,,,935,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,51.200/860,,,,,,32,,80.000/2.000,,,,,,,,,,,,,,,,,,,,8,,,,,,153.200/2.000,,,,,,,,256,,,,,,,,,,,,,,,12500,,
Standard_EC48eds_v5,,,,,,,,,,,,,1407,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,76.800/1.320,,,,,,32,,80000/3000,,,,,,,,,,,,,,,,,,,,8,,,,,,229.700/3.000,,,,,,,,384,,,,,,,,,,,,,,,15000,,
Standard_EC64eds_v5,,,,,,,,,,,,,2823,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,80.000/1.740,,,,,,32,,80000/3000,,,,,,,,,,,,,,,,,,,,8,,,,,,306.200/4.000,,,,,,,,512,,,,,,,,,,,,,,,20000,,
Standard_EC128eds_v5,,,,,,,,,,,,,2.832,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,80.000/2.600,,,,,,32,,120.000/4.000,,,,,,,,,,,,,,,,,,,,8,,,,,,459.200/4.000,,,,,,,,768,,,,,,,,,,,,,,,30.000,,
Standard_EC4ads_cc_v5,,,,,,,,,,,,,150,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,2,,32,,,,,,,,,,,,,,,,,,,,,,6400/144,,,,,,,
Standard_EC8ads_cc_v5,,,,,,,,,,,,,300,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,4,,64,,,,,,,,,,,,,,,,,,,,,,12800/200,,,,,,,
Standard_EC16ads_cc_v5,,,,,,,,,,,,,600,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,4,,128,,,,,,,,,,,,,,,,,,,,,,25600/384,,,,,,,
Standard_EC20ads_cc_v5,,,,,,,,,,,,,750,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,160,,,,,,,,,,,,,,,,,,,,,,32000/480,,,,,,,
Standard_EC32ads_cc_v5,,,,,,,,,,,,,1200,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,256,,,,,,,,,,,,,,,,,,,,,,51200/768,,,,,,,
Standard_EC48ads_cc_v5,,,,,,,,,,,,,1800,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,384,,,,,,,,,,,,,,,,,,,,,,76800/1152,,,,,,,
Standard_EC64ads_cc_v5,,,,,,,,,,,,,2400,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,512,,,,,,,,,,,,,,,,,,,,,,80000/1200,,,,,,,
Standard_EC96ads_cc_v5,,,,,,,,,,,,,3600,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,672,,,,,,,,,,,,,,,,,,,,,,80000/1600,,,,,,,
Standard_M16bds_v3,,,,,,,,,,,,,400,,,10.000/100,,,,,,16,,,,,,,,,,,,,,,64.000/1.000,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,44.000/1.000,,,,,,8,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,8\.000,,
Standard_M32bds_v3,,,,,,,,,,,,,400,,,20.000/200,,,,,,32,,,,,,,,,,,,,,,88.000/2.000,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,88.000/2.000,,,,,,8,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,16.000,,
Standard_M48bds_v3,,,,,,,,,,,,,400,,,40.000/400,,,,,,48,,,,,,,,,,,,,,,120.000/2.000,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,88.000/2.000,,,,,,8,,384,,,,,,,,,,,,,,,,,,,,,,,,,,,16.000,,
Standard_M64bds_v3,,,,,,,,,,,,,400,,,40.000/400,,,,,,64,,,,,,,,,,,,,,,160.000/2.000,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,88.000/2.000,,,,,,8,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,16.000,,
Standard_M96bds_v3,,,,,,,,,,,,,400,,,40.000/400,,,,,,96,,,,,,,,,,,,,,,260.000/4.000,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,260.000/4.000,,,,,,8,,768,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,000",,
Standard_M128bds_v3,,,,,,,,,,,,,400,,,160.000/1600,,,,,,128,,,,,,,,,,,,,,,400.000/4.000,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,260.000/4.000,,,,,,8,,1\.024,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M176bds_v3,,,,,,,,,,,,,400,,,160.000/1600,,,,,,176,,,,,,,,,,,,,,,650.000/6.000,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,260.000/6.000,,,,,,8,,1\.536,,,,,,,,,,,,,,,,,,,,,,,,,,,50.000,,
Standard_M64bds_1_v3,,,,,,,,,,,,,3000,,,40.000/400,,,,,,64,,,,,,,,,,,,,,,160.000/6.000,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,130.000/6.000,,,,,,8,,1397,,,,,,,,,,,,,,,,,,,,,,,,,,,20.000,,
Standard_M96bds_2_v3,,,,,,,,,,,,,4500,,,40.000/400,,,,,,96,,,,,,,,,,,,,,,260.000/8.000,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,130.000/8.000,,,,,,8,,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,20.000,,
Standard_M128bds_3_v31,,,,,,,,,,,,,6000,,,160.000/1600,,,,,,128,,,,,,,,,,,,,,,400.000/10.000,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,260.000/8.000,,,,,,8,,2794,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M176bds_4_v31,,,,,,,,,,,,,8000,,,160.000/1600,,,,,,176,,,,,,,,,,,,,,,650.000/10.000,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,260.000/8.000,,,,,,8,,3.892,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M12ds_v3,,,,,,,,,,,,,400,,,,,,,,,12,,,,,,,,,,,,,,4\.000,16.250/390,,,,10.000/100,16.250/390,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,4,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_M24ds_v3,,,,,,,,,,,,,400,,,,,,,,,24,,,,,,,,,,,,,,8\.000,32.500/780,,,,20.000/200,32.500/780,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,8,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_M48ds_1_v3,,,,,,,,,,,,,400,,,,,,,,,48,,,,,,,,,,,,,,16.000,65.000/1.560,,,,40.000/400,65.000/1.560,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,8,,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_M96ds_1_v3,,,,,,,,,,,,,400,,,,,,,,,96,,,,,,,,,,,,,,16.000,65.000/1.560,,,,40.000/400,65.000/1.560,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,8,,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_M96ds_2_v3,,,,,,,,,,,,,400,,,,,,,,,96,,,,,,,,,,,,,,30.000,130.000/3.120,,,,160.000/1600,130.000/3.120,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,8,,1\.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_M176ds_3_v31,,,,,,,,,,,,,400,,,,,,,,,176,,,,,,,,,,,,,,40.000,130.000/4.000,,,,160.000/1600,130.000/4.000,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,8,,2794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_M176ds_4_v31,,,,,,,,,,,,,400,,,,,,,,,176,,,,,,,,,,,,,,40.000,130.000/4.000,,,,160.000/1600,130.000/4.000,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,8,,3.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_M416s_6_v3,,,,,,,,,,,,,,,,,130.000/4.000,,,,,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,130.000/4.000,,,8,,5.696,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M416s_8_v3,,,,,,,,,,,,,,,,,130.000/4.000,,,,,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,130.000/4.000,,,8,,7.600,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M624s_12_v31,,,,,,,,,,,,,,,,,130.000/4.000,,,,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,130.000/4.000,,,8,,11.400,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M832s_12_v31,,,,,,,,,,,,,,,,,130.000/4.000,,,,,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,130.000/4.000,,,8,,11.400,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M832is_16_v31,,,,,,,,,,,,,,,,,130.000/8.000,,,,,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,130.000/8.000,,,8,,15.200,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M416ds_6_v3,,,,,,,,,,,,,400,,,,,,,,,416,,,,,,,,,,,,,,,130.000/4.000,,,,,,,,,,,,,,64,,,,,250.000/1.600,,,,,,,,,,,130.000/4.000,,,,,,8,,5.696,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M416ds_8_v3,,,,,,,,,,,,,400,,,,,,,,,416,,,,,,,,,,,,,,,130.000/4.000,,,,,,,,,,,,,,64,,,,,250.000/1.600,,,,,,,,,,,130.000/4.000,,,,,,8,,7.600,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M624ds_12_v3,,,,,,,,,,,,,400,,,,,,,,,624,,,,,,,,,,,,,,,130.000/4.000,,,,,,,,,,,,,,64,,,,,250.000/1.600,,,,,,,,,,,130.000/4.000,,,,,,8,,11.400,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M832ds_12_v3,,,,,,,,,,,,,400,,,,,,,,,832,,,,,,,,,,,,,,,130.000/4.000,,,,,,,,,,,,,,64,,,,,250.000/1.600,,,,,,,,,,,130.000/4.000,,,,,,8,,11.400,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M832ids_16_v3,,,,,,,,,,,,,400,,,,,,,,,832,,,,,,,,,,,,,,,260.000/8.000,,,,,,,,,,,,,,64,,,,,250.000/1.600,,,,,,,,,,,130.000/8.000,,,,,,8,,15.200,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M624ds_12_v31,,,,,,,,,,,,,400,,,,,,,,,624,,,,,,,,,,,,,,,130.000/4.000,,,,,,,,,,,,,,64,,,,,250.000/1.600,,,,,,,,,,,130.000/4.000,,,,,,8,,11.400,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M832ds_12_v31,,,,,,,,,,,,,400,,,,,,,,,832,,,,,,,,,,,,,,,130.000/4.000,,,,,,,,,,,,,,64,,,,,250.000/1.600,,,,,,,,,,,130.000/4.000,,,,,,8,,11.400,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M832ids_16_v31,,,,,,,,,,,,,400,,,,,,,,,832,,,,,,,,,,,,,,,130.000/8.000,,,,,,,,,,,,,,64,,,,,250.000/1.600,,,,,,,,,,,130.000/8.000,,,,,,8,,15.200,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,
Standard_M32dms_v2,,,,,,,,,,,,,1024,,,,,,,,,32,,,40000/1000,,,,,,,,,,,,,,40000/1000,,,,,,,,,,,,32,,,,,,,,8.000,,,,,,,40000/400,,,,,,,8,,875,,,,,,,,,,,,,,,,,,,,,,20.000/500,,,,,,,
Standard_M64ds_v2,,,,,,,,,,,,,2048,,,,,,,,,64,,,80.000/2.000,,,,,,,,,,,,,,80.000/2.000,,,,,,,,,,,,64,,,,,,,,16000,,,,,,,80000/800,,,,,,,8,,1024,,,,,,,,,,,,,,,,,,,,,,40000/1000,,,,,,,
Standard_M64dms_v2,,,,,,,,,,,,,2048,,,,,,,,,64,,,80.000/2.000,,,,,,,,,,,,,,80.000/2.000,,,,,,,,,,,,64,,,,,,,,16000,,,,,,,80000/800,,,,,,,8,,1792,,,,,,,,,,,,,,,,,,,,,,40000/1000,,,,,,,
Standard_M128ds_v2,,,,,,,,,,,,,4096,,,,,,,,,128,,,80000/4000,,,,,,,,,,,,,,250000/4000,,,,,,,,,,,,64,,,,,,,,30.000,,,,,,,160000/1600,,,,,,,8,,2048,,,,,,,,,,,,,,,,,,,,,,80.000/2.000,,,,,,,
Standard_M128dms_v2,,,,,,,,,,,,,4096,,,,,,,,,128,,,80000/4000,,,,,,,,,,,,,,250000/4000,,,,,,,,,,,,64,,,,,,,,30.000,,,,,,,160000/1600,,,,,,,8,,3.892,,,,,,,,,,,,,,,,,,,,,,80.000/2.000,,,,,,,
Standard_M192ids_v2,,,,,,,,,,,,,4096,,,,,,,,,192,,,80000/4000,,,,,,,,,,,,,,250000/4000,,,,,,,,,,,,64,,,,,,,,30.000,,,,,,,160000/1600,,,,,,,8,,2048,,,,,,,,,,,,,,,,,,,,,,80.000/2.000,,,,,,,
Standard_M192idms_v2,,,,,,,,,,,,,4096,,,,,,,,,192,,,80000/4000,,,,,,,,,,,,,,250000/4000,,,,,,,,,,,,64,,,,,,,,30.000,,,,,,,160000/1600,,,,,,,8,,4096,,,,,,,,,,,,,,,,,,,,,,80.000/2.000,,,,,,,
Standard_L8s_v3,16,,,1,,20000,,,,12800,,,,,,,,,,2.000,,,,,,,,"1,92",64,,,,,,,,,2.000,,80,,,400000,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,4,,,,400000,,,1200,,,,,,,,,,,,,,,,,,290,12500,,1
Standard_L16s_v3,32,,,1,,40.000,,,,25600,,,,,,,,,,4000,,,,,,,,"1,92",128,,,,,,,,,4000,,160,,,800000,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,8,,,,800000,,,1600,,,,,,,,,,,,,,,,,,600,12500,,2
Standard_L32s_v3,32,,,1,,80.000,,,,51.200,,,,,,,,,,8000,,,,,,,,"1,92",256,,,,,,,,,8000,,320,,,"1,5 Mio.",,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,8,,,,"1,5 Mio.",,,2.000,,,,,,,,,,,,,,,,,,865,16000,,4
Standard_L48s_v3,32,,,1,,80.000,,,,76800,,,,,,,,,,14000,,,,,,,,"1,92",384,,,,,,,,,14000,,480,,,"2,2 M",,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,8,,,,"2,2 M",,,3000,,,,,,,,,,,,,,,,,,1315,24.000,,6
Standard_L64s_v3,32,,,1,,80.000,,,,80.000,,,,,,,,,,16000,,,,,,,,"1,92",512,,,,,,,,,16000,,640,,,2.9M,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,8,,,,2.9M,,,3000,,,,,,,,,,,,,,,,,,1735,30.000,,8
Standard_L80s_v3,32,,,1,,80.000,,,,80.000,,,,,,,,,,20000,,,,,,,,"1,92",640,,,,,,,,,20000,,800,,,"3,8 Mio.",,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,8,,,,"3,8 Mio.",,,3000,,,,,,,,,,,,,,,,,,2160,32000,,10
Standard_L8as_v3,16,,,1,,,,,,12800,,,,,,,,,,,,,,,,,,"1,92",64,,,,,,,,,2.000,,80,,,400000,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,20000,,,,4,,,,,,,,,,,,,,,,1280,,,,,,,,,200,12500,,1
Standard_L16as_v3,32,,,1,,,,,,25600,,,,,,,,,,,,,,,,,,"1,92",128,,,,,,,,,4000,,160,,,800000,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,40.000,,,,8,,,,,,,,,,,,,,,,1280,,,,,,,,,384,12500,,2
Standard_L32as_v3,32,,,1,,,,,,51.200,,,,,,,,,,,,,,,,,,"1,92",256,,,,,,,,,8000,,320,,,"1,5 Mio.",,,,,,,,,32,,,,,,,,,,,,,,,,,,,,80.000,,,,8,,,,,,,,,,,,,,,,1600,,,,,,,,,768,16000,,4
Standard_L48as_v3,32,,,1,,,,,,76800,,,,,,,,,,,,,,,,,,"1,92",384,,,,,,,,,14000,,480,,,"2,2 M",,,,,,,,,48,,,,,,,,,,,,,,,,,,,,80.000,,,,8,,,,,,,,,,,,,,,,2.000,,,,,,,,,1152,24.000,,6
Standard_L64as_v3,32,,,1,,,,,,80.000,,,,,,,,,,,,,,,,,,"1,92",512,,,,,,,,,16000,,640,,,2.9M,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,80.000,,,,8,,,,,,,,,,,,,,,,2.000,,,,,,,,,1280,32000,,8
Standard_L80as_v3,32,,,1,,,,,,80.000,,,,,,,,,,,,,,,,,,"1,92",640,,,,,,,,,20000,,800,,,"3,8 Mio.",,,,,,,,,80,,,,,,,,,,,,,,,,,,,,80.000,,,,8,,,,,,,,,,,,,,,,2.000,,,,,,,,,1400,32000,,10
Standard_NC40ads_H100_v5,8,40.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,3000,,,,,,3576,,,,100.000,,,,,,,,40,,,,,,,,94,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NC80adis_H100_v5,16,80.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,640,,,,,7000,,,,,,7152,,,,240000,,,,,,,,80,,,,,,,,188,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_NCC40ads_H100_v5,8,40.000,,1,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,3000,,,,,,800,,,,100.000,,,,,,,,40,,,,,,,,94,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
