Name der Größe,vCPUs (Anzahl),Random Write (RW) des temporären Datenträgers1– IOPS,Maximaler temporärer Speicherdurchsatz: IOPS/MB/s*,Disk Ultra- und SSD Premium v2-Durchsatz ohne Zwischenspeicherung (MB/s),Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Maximaler nicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Maximale Netzwerkbandbreite (MBit/s),SSD Premium-Durchsatz (MB/s) ohne Zwischenspeicherung,Arbeitsspeicherbandbreite (GB/s),Max. Bandbreite (MBit/s),Random Read1-Durchsatz (MB/s) des temporären Datenträgers,Temporäre Datenträgergröße (GiB),SSD Premium-Durchsatz ohne Zwischenspeicherung (MB/s),Lokale SSD (Menge),vCPUs (Menge),RDMA-Leistung (GB/s),Spitzenfrequenz für alle Kerne (GHz),Maximaler temporärer Speicherdurchsatz: IOPS/MB/s,Random Read-Durchsatz (MB/s)1des temporären Datenträgers,Burstdatenträgerdurchsatz ohne Cache: IOPS/MBit/s1,Größe des Betriebssystemdatenträgers (GB),Größe des temporären Datenträgers (GB),EPC-Arbeitsspeicher (GiB),Netzwerkbandbreite,Anfängliches Guthaben (Menge),Maximaler temporärer Speicherdurchsatz: IOPS/MBit/s*,SSD Premium-Burst1-IOPS ohne Zwischenspeicherung,Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Burstzwischenspeicherung1,Max. NICs (Anzahl),Maximaler Burst nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Arbeitsspeicher der Beschleuniger (GB),Disk Ultra- und SSD Premium v2-IOPS ohne Zwischenspeicherung,vCPU,Disk Ultra- und SSD Premium v2-IOPS ohne Burstzwischenspeicherung1,SSD Premium-Burstdurchsatz (MB/s)1ohne Zwischenspeicherung,Basis-CPU-Frequenz (GHz),Größe der lokalen SSD (GB),Maximaler Durchsatz (temporärer Speicher): IOPS/MBit/s,Temp ReadOnly Storage IOPS,Maximaler Burstdurchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,Erwartete ausgehende Netzwerkbandbreite (MBit/s),NVMe-Datenträgergröße (TiB),Memory: GiB,NVMe-Datenträger-IOPS,Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Zwischenspeicherung,Maximaler Durchsatz (Cache und temporärer Speicher): IOPS/MBit/s,Kerne (Anzahl),Spitzenfrequenz für Einzelkern (GHz),Max. Remotespeicher (Menge),Max. Netzwerkbandbreite (MBit/s),ReadOnly-IOPS des temporären Datenträgers,Maximaler Durchsatz des temporären Datenträgers in IOPS/MBit/s,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MB/s,SSD Premium-Burst-IOPS1ohne Zwischenspeicherung,Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBps,Basis-CPU-Leistung der VM (%)1,Nicht zwischengespeicherter Special2Storage IOPS,Arbeitsspeicher (GiB),Nicht zwischengespeicherter Burst1Special2Storage IOPS,EPC-Speicher (MiB),Maximaler Burst-Datenträgerdurchsatz ohne Cache: IOPS/MBit/s,ReadWrite-IOPS des temporären Datenträgers,Beschleuniger (Anzahl),NVMe-Datenträgerdurchsatz (MB/s),Temp ReadOnly Storage Speed (MBps),Speicherbandbreite (GB/s),Maximale Netzwerkbandbreite (MB/s),Nicht zwischengespeicherte Burst1Special Storage-Geschwindigkeit (MBps),Temporäre Speichergröße (GiB),Random Write1-Durchsatz (MB/s) des temporären Datenträgers,Nicht zwischengespeicherter Storage Burst1IOPS,RAM (GiB),Burstdurchsatz für Cache- und temporären Speicher: IOPS/MBit/s1,Nicht zwischengespeicherte Datenträger-IOPS,ReadOnly-Geschwindigkeit (MBit/s) des temporären Datenträgers,Nicht zwischengespeicherte Speichergeschwindigkeit (MBps),Maximalernicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Maximalernicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Nicht zwischengespeicherter Storage Burst1Speed (MBps),Max. gebildetes Guthaben (Menge),Max. NVMe-Datenträger (Anzahl),ReadWrite-Geschwindigkeit (MBit/s) des temporären Datenträgers,Max. Remotespeicherdatenträger (Menge),NVMe-Datenträgergröße (TB),SSD Premium-Datenträger-IOPS ohne Zwischenspeicherung,Max. Anzahl Datenträger,Maximaler Durchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,Maximale Anzahl NICs,SSD Premium-Burst1Durchsatz ohne Zwischenspeicherung (MB/s),Max Temp Storage (Menge),Max. temporäre Speicherdatenträger (Menge),Nicht zwischengespeicherte Speicher-IOPS,Guthabenbildung/Stunde (Menge),Random Read (RR) des temporären Datenträgers1– IOPS,Maximaler SSD Premium-Durchsatz ohne Cache: IOPS/MBit/s,Temp ReadWrite Storage Speed (MBps),Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MBit/s,Temporärer Speicher (SSD): GiB,Maximale Bandbreite (Mbps),Nicht zwischengespeicherter Special2Storage-Geschwindigkeit (MBps),SSD Premium-Burst1-Durchsatz ohne Zwischenspeicherung (MB/s),Nicht zwischengespeicherte Datenträgergeschwindigkeit (MBit/s),Arbeitsspeicher (GB),Temp ReadWrite Storage IOPS
Standard_D96s_v5,96,,,,,,,,,,,,2600,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,4000,,384,
Standard_D2d_v5,2,,,,,,,,,,125,75,85,,,,,,,,,,,,,,10000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,4,,3750,,,,,,1,,,9000,,,,,,,1200,,8,
Standard_D4d_v5,4,,,,,,,,,,250,150,145,,,,,,,,,,,,,,20000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,8,,6400,,,,,,1,,,19000,,,,,,,1200,,16,
Standard_D8d_v5,8,,,,,,,,,,500,300,290,,,,,,,,,,,,,,20000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,16,,12800,,,,,,1,,,38.000,,,,,,,1200,,32,
Standard_D16d_v5,16,,,,,,,,,,1.000,600,600,,,,,,,,,,,,,,40.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,32,,25600,,,,,,1,,,75.000,,,,,,,1200,,64,
Standard_D32d_v5,32,,,,,,,,,,2.000,1200,865,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,32,,51.200,,,,,,1,,,150000,,,,,,,2.000,,128,
Standard_D48d_v5,48,,,,,,,,,,3000,1800,1315,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.000,,,,,,,,,,,,,,,,32,,76800,,,,,,1,,,225.000,,,,,,,3000,,192,
Standard_D64d_v5,64,,,,,,,,,,4000,2400,1735,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.000,,,,,,,,,,,,,,,,32,,80.000,,,,,,1,,,300000,,,,,,,3000,,256,
Standard_D96d_v5,96,,,,,,,,,,4000,3600,2600,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,,,,,,,,,,,,,,,,32,,80.000,,,,,,1,,,450.000,,,,,,,4000,,384,
Standard_D2ds_v5,2,,,,,,,,,,125,75,85,,,,,,,,,,,,,,10000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,4,,3750,,,,,,1,,,9000,,,,,,,1200,,8,
Standard_D4ds_v5,4,,,,,,,,,,250,150,145,,,,,,,,,,,,,,20000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,8,,6400,,,,,,1,,,19000,,,,,,,1200,,16,
Standard_D8ds_v5,8,,,,,,,,,,500,300,290,,,,,,,,,,,,,,20000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,16,,12800,,,,,,1,,,38.000,,,,,,,1200,,32,
Standard_D16ds_v5,16,,,,,,,,,,1.000,600,600,,,,,,,,,,,,,,40.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,32,,25600,,,,,,1,,,75.000,,,,,,,1200,,64,
Standard_D32ds_v5,32,,,,,,,,,,2.000,1200,865,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,32,,51.200,,,,,,1,,,150000,,,,,,,2.000,,128,
Standard_D48ds_v5,48,,,,,,,,,,3000,1800,1315,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.000,,,,,,,,,,,,,,,,32,,76800,,,,,,1,,,225.000,,,,,,,3000,,192,
Standard_D64ds_v5,64,,,,,,,,,,4000,2400,1735,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.000,,,,,,,,,,,,,,,,32,,80.000,,,,,,1,,,300000,,,,,,,3000,,256,
Standard_D96ds_v5,96,,,,,,,,,,4000,3600,2600,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,,,,,,,,,,,,,,,,32,,80.000,,,,,,1,,,450.000,,,,,,,4000,,384,
Standard_D2as_v5,2,,,,,,,,,,,,82,,,,,,,,,,,,,,10000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,4,,3750,,,,,,,,,,,,,,,,600,,8,
Standard_D4as_v5,4,,,,,,,,,,,,144,,,,,,,,,,,,,,20000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,8,,6400,,,,,,,,,,,,,,,,600,,16,
Standard_D8as_v5,8,,,,,,,,,,,,200,,,,,,,,,,,,,,20000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,16,,12800,,,,,,,,,,,,,,,,600,,32,
Standard_D16as_v5,16,,,,,,,,,,,,384,,,,,,,,,,,,,,40.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,32,,25600,,,,,,,,,,,,,,,,800,,64,
Standard_D32as_v5,32,,,,,,,,,,,,768,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,32,,51.200,,,,,,,,,,,,,,,,1600,,128,
Standard_D48as_v5,48,,,,,,,,,,,,1152,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.000,,,,,,,,,,,,,,,,32,,76800,,,,,,,,,,,,,,,,2.000,,192,
Standard_D64as_v5,64,,,,,,,,,,,,1200,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,2.000,,256,
Standard_D96as_v5,96,,,,,,,,,,,,1600,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,2.000,,384,
Standard_D2ads_v5,2,,,,,,,,,,125,75,82,,,,,,,,,,,,,,10000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,4,,3750,,,,,,1,,,9000,,,,,,,600,,8,
Standard_D4ads_v5,4,,,,,,,,,,250,150,144,,,,,,,,,,,,,,20000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,8,,6400,,,,,,1,,,19000,,,,,,,600,,16,
Standard_D8ads_v5,8,,,,,,,,,,500,300,200,,,,,,,,,,,,,,20000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,16,,12800,,,,,,1,,,38.000,,,,,,,600,,32,
Standard_D16ads_v5,16,,,,,,,,,,1.000,600,384,,,,,,,,,,,,,,40.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,32,,25600,,,,,,1,,,75.000,,,,,,,800,,64,
Standard_D32ads_v5,32,,,,,,,,,,2.000,1200,768,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,32,,51.200,,,,,,1,,,150000,,,,,,,1.000,,128,
Standard_D48ads_v5,48,,,,,,,,,,3000,1800,1152,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.000,,,,,,,,,,,,,,,,32,,76800,,,,,,1,,,225.000,,,,,,,2.000,,192,
Standard_D64ads_v5,64,,,,,,,,,,4000,2400,1200,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000,,,,,,,,,,,,,,,,32,,80.000,,,,,,1,,,300000,,,,,,,2.000,,256,
Standard_D96ads_v5,96,,,,,,,,,,4000,3600,1600,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,,,,,,,,,,,,,,,32,,80.000,,,,,,1,,,450.000,,,,,,,2.000,,384,
Standard_D2ps_v5,2,,,,,,,,,,,,85,,,,,,,,,,,,,,10000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,4,,3750,,,,,,,,,,,,,,,,1200,,8,
Standard_D4ps_v5,4,,,,,,,,,,,,145,,,,,,,,,,,,,,20000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,8,,6400,,,,,,,,,,,,,,,,1200,,16,
Standard_D8ps_v5,8,,,,,,,,,,,,290,,,,,,,,,,,,,,20000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,16,,12800,,,,,,,,,,,,,,,,1200,,32,
Standard_D16ps_v5,16,,,,,,,,,,,,600,,,,,,,,,,,,,,40.000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,32,,25600,,,,,,,,,,,,,,,,1200,,64,
Standard_D32ps_v5,32,,,,,,,,,,,,865,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,32,,51.200,,,,,,,,,,,,,,,,2.000,,128,
Standard_D48ps_v5,48,,,,,,,,,,,,1315,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.000,,,,,,,,,,,,,,,,32,,76800,,,,,,,,,,,,,,,,3000,,192,
Standard_D64ps_v5,64,,,,,,,,,,,,1735,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,3000,,208,
Standard_D2pds_v5,2,,,,,,,,,,125,75,85,,,,,,,,,,,,,,10000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,4,,3750,,,,,,1,,,9.375,,,,,,,1200,,8,
Standard_D4pds_v5,4,,,,,,,,,,250,150,145,,,,,,,,,,,,,,20000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,8,,6400,,,,,,1,,,19000,,,,,,,1200,,16,
Standard_D8pds_v5,8,,,,,,,,,,500,300,290,,,,,,,,,,,,,,20000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,16,,12800,,,,,,1,,,38.000,,,,,,,1200,,32,
Standard_D16pds_v5,16,,,,,,,,,,1.000,600,600,,,,,,,,,,,,,,40.000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,32,,25600,,,,,,1,,,75.000,,,,,,,1200,,64,
Standard_D32pds_v5,32,,,,,,,,,,2.000,1200,865,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,32,,51.200,,,,,,1,,,150000,,,,,,,2.000,,128,
Standard_D48pds_v5,48,,,,,,,,,,3000,1800,1315,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.000,,,,,,,,,,,,,,,,32,,76800,,,,,,1,,,225.000,,,,,,,3000,,192,
Standard_D64pds_v5,64,,,,,,,,,,4000,2400,1735,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,,,,,,,,,,,,,,,32,,80.000,,,,,,1,,,300000,,,,,,,3000,,208,
Standard_D2pls_v5,2,,,,,,,,,,,,85,,,,,,,,,,,,,,10000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,4,,3750,,,,,,,,,,,,,,,,1200,,4,
Standard_D4pls_v5,4,,,,,,,,,,,,145,,,,,,,,,,,,,,20000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,8,,6400,,,,,,,,,,,,,,,,1200,,8,
Standard_D8pls_v5,8,,,,,,,,,,,,290,,,,,,,,,,,,,,20000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,16,,12800,,,,,,,,,,,,,,,,1200,,16,
Standard_D16pls_v5,16,,,,,,,,,,,,600,,,,,,,,,,,,,,40.000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,32,,25600,,,,,,,,,,,,,,,,1200,,32,
Standard_D32pls_v5,32,,,,,,,,,,,,865,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,32,,51.200,,,,,,,,,,,,,,,,2.000,,64,
Standard_D48pls_v5,48,,,,,,,,,,,,1315,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.000,,,,,,,,,,,,,,,,32,,76800,,,,,,,,,,,,,,,,3000,,96,
Standard_D64pls_v5,64,,,,,,,,,,,,1735,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,3000,,128,
Standard_D2plds_v5,2,3750,,,,,,,,,125,75,85,,,,,,,,,,,,,,10000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,85,,,,,,,,,,,,,4,,3750,,,,,,1,,,9.375,,,,,,,1200,,4,
Standard_D4plds_v5,4,6400,,,,,,,,,250,150,145,,,,,,,,,,,,,,20000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,145,,,,,,,,,,,,,8,,6400,,,,,,1,,,19000,,,,,,,1200,,8,
Standard_D8plds_v5,8,12800,,,,,,,,,500,300,290,,,,,,,,,,,,,,20000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,290,,,,,,,,,,,,,16,,12800,,,,,,1,,,38.000,,,,,,,1200,,16,
Standard_D16plds_v5,16,25600,,,,,,,,,1.000,600,600,,,,,,,,,,,,,,40.000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,600,,,,,,,,,,,,,32,,25600,,,,,,1,,,75.000,,,,,,,1200,,32,
Standard_D32plds_v5,32,51.200,,,,,,,,,2.000,1200,865,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,865,,,,,,,,,,,,,32,,51.200,,,,,,1,,,150000,,,,,,,2.000,,64,
Standard_D48plds_v5,48,76800,,,,,,,,,3000,1800,1315,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.000,,,1315,,,,,,,,,,,,,32,,76800,,,,,,1,,,225.000,,,,,,,3000,,96,
Standard_D64plds_v5,64,80.000,,,,,,,,,4000,2400,1735,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000,,,1735,,,,,,,,,,,,,32,,80.000,,,,,,1,,,300000,,,,,,,3000,,128,
Standard_D2ls_v5,2,,,,,,12500,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,10000,,,,,85,,,1200,,,,,,,,,,,,,3750,,,,,,,,,,,4,
Standard_D4ls_v5,4,,,,,,12500,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,20000,,,,,145,,,1200,,,,,,,,,,,,,6400,,,,,,,,,,,8,
Standard_D8ls_v5,8,,,,,,12500,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,20000,,,,,290,,,1200,,,,,,,,,,,,,12800,,,,,,,,,,,16,
Standard_D16ls_v5,16,,,,,,12500,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,40.000,,,,,600,,,1200,,,,,,,,,,,,,25600,,,,,,,,,,,32,
Standard_D32ls_v5,32,,,,,,16000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,80.000,,,,,865,,,2.000,,,,,,,,,,,,,51.200,,,,,,,,,,,64,
Standard_D48ls_v5,48,,,,,,24.000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,80.000,,,,,1315,,,3000,,,,,,,,,,,,,76800,,,,,,,,,,,96,
Standard_D64ls_v5,64,,,,,,30.000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,80.000,,,,,1735,,,3000,,,,,,,,,,,,,80.000,,,,,,,,,,,128,
Standard_D96ls_v5,96,,,,,,35000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,80.000,,,,,2600,,,4000,,,,,,,,,,,,,80.000,,,,,,,,,,,192,
Standard_D2lds_v5,2,,,,,,12500,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,75,,10000,,,,,85,,,1200,,,,,,,,,,,1,,3750,,,,125,,,,,,,4,9000
Standard_D4lds_v5,4,,,,,,12500,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,150,,20000,,,,,145,,,1200,,,,,,,,,,,1,,6400,,,,250,,,,,,,8,19000
Standard_D8lds_v5,8,,,,,,12500,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,300,,20000,,,,,290,,,1200,,,,,,,,,,,1,,12800,,,,500,,,,,,,16,38.000
Standard_D16lds_v5,16,,,,,,12500,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,600,,40.000,,,,,600,,,1200,,,,,,,,,,,1,,25600,,,,1.000,,,,,,,32,75.000
Standard_D32lds_v5,32,,,,,,16000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,1200,,80.000,,,,,865,,,2.000,,,,,,,,,,,1,,51.200,,,,2.000,,,,,,,64,150000
Standard_D48lds_v5,48,,,,,,24.000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,1800,,80.000,,,,,1315,,,3000,,,,,,,,,,,1,,76800,,,,3000,,,,,,,96,225.000
Standard_D64lds_v5,64,,,,,,30.000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,2400,,80.000,,,,,1735,,,3000,,,,,,,,,,,1,,80.000,,,,4000,,,,,,,128,300000
Standard_D96lds_v5,96,,,,,,35000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,3600,,80.000,,,,,2600,,,4000,,,,,,,,,,,1,,80.000,,,,4000,,,,,,,192,450.000
Standard_D2_v4,2,,,,,,5.000,,,,,,48,,,,,,,,,,,,,,4000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3200,,,,,,,,,,,,,,,,200,,8,
Standard_D4_v4,4,,,,,,10000,,,,,,96,,,,,,,,,,,,,,8000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,6400,,,,,,,,,,,,,,,,200,,16,
Standard_D8_v4,8,,,,,,12500,,,,,,192,,,,,,,,,,,,,,16000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,12800,,,,,,,,,,,,,,,,400,,32,
Standard_D16_v4,16,,,,,,12500,,,,,,384,,,,,,,,,,,,,,32000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,25600,,,,,,,,,,,,,,,,800,,64,
Standard_D32_v4,32,,,,,,16000,,,,,,768,,,,,,,,,,,,,,64000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,51.200,,,,,,,,,,,,,,,,1600,,128,
Standard_D48_v4,48,,,,,,24.000,,,,,,1152,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,76800,,,,,,,,,,,,,,,,2.000,,192,
Standard_D64_v4,64,,,,,,30.000,,,,,,1200,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,2.000,,256,
